"deltaLoad","partResArcL2","partResFreq2","partResDeltaMetR"
0.0743,3002.57851743878,3002.57851743878,-0.644272905821863
0.10285,-402.151466211376,-402.151466211376,-0.0941906424703415
0.07685,4560.39317508935,4560.39317508935,-0.111174823892487
0.07755,-2268.38947076362,-2268.38947076362,-0.129377995520267
0.06915,3081.49464097313,3081.49464097313,0.00826823074447836
0.0612,2365.20260903904,2365.20260903904,-0.189314285047562
0.07495,-1757.16504997391,-1757.16504997391,-0.0615653804841442
0.10975,1300.21387580416,1300.21387580416,1.47494045574363
0.07895,-2.67528135645723,-2.67528135645723,-0.806680513254554
0.10545,-2848.96546312548,-2848.96546312548,1.56805476362998
0.07285,-2123.01657407532,-2123.01657407532,-0.660891985875121
0.06765,24.600254637581,24.600254637581,0.316974274850604
0.0788,-241.856229601006,-241.856229601006,-1.13934658909152
0.08485,123.426297782953,123.426297782953,0.220582452317827
0.0594,1229.67834511625,1229.67834511625,-1.26979328226737
0.07545,242.257661234918,242.257661234918,2.97756862039593
0.07115,3261.31569981017,3261.31569981017,-0.543078738323019
0.0666,1182.77708155242,1182.77708155242,0.140006111450635
0.04665,-1932.69489763865,-1932.69489763865,-0.473552903510064
0.1123,-2172.91127853583,-2172.91127853583,0.136611024999967
0.0737,-307.36940830503,-307.36940830503,-0.627166908502974
0.07795,-3734.26978592575,-3734.26978592575,0.290894528336732
0.0588,2276.07568518431,2276.07568518431,1.23184217341247
0.08485,1517.75477671548,1517.75477671548,-0.602222464723595
0.04935,-2247.90925874006,-2247.90925874006,-0.123690122242879
0.0658,-1621.25823398376,-1621.25823398376,-0.830243439556189
0.1127,-2561.45234621772,-2561.45234621772,1.3441302118562
0.07925,2170.17195119945,2170.17195119945,-0.939120419507375
0.0556,-2129.80116027285,-2129.80116027285,-0.884677098252163
0.0829,13.9453331488357,13.9453331488357,0.420487650605026
