"deltaLoad","partResDeltaLoad","deltaFreq2","partResDeltaFreq2"
0.0743,-0.644272905821863,2808.44631649471,-0.039783670310224
0.10285,-0.0941906424703415,2432.40595239095,-0.230524275405576
0.07685,-0.111174823892487,4366.26097414528,0.976322906411558
0.07755,-0.129377995520267,566.167947838701,-0.368236062037364
0.06915,0.00826823074447836,5916.05205957546,1.79538616834971
0.0612,-0.189314285047562,5199.76002764137,1.52077221680534
0.07495,-0.0615653804841442,-1951.29725091798,-1.11352749865565
0.10975,1.47494045574363,4134.77129440648,1.77839532631218
0.07895,-0.806680513254554,-196.807482300526,-1.33879786693521
0.10545,1.56805476362998,-14.4080445231557,0.531702588212706
0.07285,-0.660891985875121,-2317.14877501939,-1.79415950630888
0.06765,0.316974274850604,-169.531946306488,0.0361231304545464
0.0788,-1.13934658909152,2592.70118900132,-0.705622236624725
0.08485,0.220582452317827,2957.98371638528,0.650874072852441
0.0594,-1.26979328226737,4064.23576371857,0.0869606365311384
0.07545,2.97756862039593,3076.81507983724,3.65005577530941
0.07115,-0.543078738323019,3067.1834988661,0.218117478209932
0.0666,0.140006111450635,988.64488060835,0.28130321962793
0.04665,-0.473552903510064,-2126.82709858272,-0.980384206077767
0.1123,0.136611024999967,661.646140066492,-0.813052108966036
0.0737,-0.627166908502974,-501.501609249099,-1.15206547106829
0.07795,0.290894528336732,-3928.40198686982,-1.50755540486532
0.0588,1.23184217341247,2081.94348424024,1.91736884377307
0.08485,-0.602222464723595,1323.62257577141,-0.73593236114756
0.04935,-0.123690122242879,-2442.04145968413,-0.79708676766647
0.0658,-0.830243439556189,-1815.39043492783,-1.63946820271616
0.1127,1.3441302118562,273.105072384606,0.251824288206007
0.07925,-0.939120419507375,5004.72936980178,0.317339146443824
0.0556,-0.884677098252163,704.756258329478,-0.605914282603281
0.0829,0.420487650605026,-180.186867795233,-0.190435876111275
