"","Estimate","Std. Error","t value"
"(Intercept)",1.46820928489958,0.0151560516383498,96.8728082968871
"size_pca1",-0.0385803117506465,0.0090702698738686,-4.25349105232207
"percLoad",-0.380526243967325,0.0338105914220884,-11.2546461910964
"size_pca1:percLoad",0.0410428142119413,0.0205822273596863,1.99409002216789
