"","Estimate","Std. Error","t value"
"(Intercept)",9.7947010156708,0.29934563980179,32.7203730849606
"size_pc1",1.09294305644135,0.157437437832785,6.94207852646945
"Treatment.order2",-0.680294838437501,0.209014458669495,-3.25477406093337
"TreatmentL",2.2901413925625,0.209014458669495,10.9568563205659
